Original Sentence,Lemmatized Tokens,Lemmatized Sentence
"### Turkey ###
For only $3 per month you can become a Travellerspoint Supporter
              and enjoy an ad free experience.","turkey, per, month, become, travellerspoint, supporter, enjoy, ad, free, experience",turkey per month become travellerspoint supporter enjoy ad free experience
"With one foot in Asia and one foot (a smaller foot, granted) in Europe, Turkey emerges on the tourist map as a fascinating cultural mystery, with ancient cities and towns as frequent as freckles and a history that's as long as it is complicated.","one, foot, asia, one, foot, smaller, foot, granted, europe, turkey, emerges, tourist, map, fascinating, cultural, mystery, ancient, city, town, frequent, freckle, history, long, complicated",one foot asia one foot smaller foot granted europe turkey emerges tourist map fascinating cultural mystery ancient city town frequent freckle history long complicated
Istanbul's pronounced prominence in the ancient world made it and Turkey the center of numerous great civilizations.,"istanbul, pronounced, prominence, ancient, world, made, turkey, center, numerous, great, civilization",istanbul pronounced prominence ancient world made turkey center numerous great civilization
"As it passed through Byzantine and Roman hands, it sported the names Byzantine and Constantinople, eventually adopting its current name under Ottoman rule.","passed, byzantine, roman, hand, sported, name, byzantine, constantinople, eventually, adopting, current, name, ottoman, rule",passed byzantine roman hand sported name byzantine constantinople eventually adopting current name ottoman rule
"The city is the country's tourist center, but Turkey is certainly no one-hit wonder.","city, country, tourist, center, turkey, certainly, onehit, wonder",city country tourist center turkey certainly onehit wonder
"Mount Ararat, the ancient Biblical towns of Ephesus and Antakya (Antioch), the fairy tale formations of Cappadocia and the cultured beach towns along the Mediterranean coast make up further ammo for the Turkish arsenal of touristy delights.","mount, ararat, ancient, biblical, town, ephesus, antakya, antioch, fairy, tale, formation, cappadocia, cultured, beach, town, along, mediterranean, coast, make, ammo, turkish, arsenal, touristy, delight",mount ararat ancient biblical town ephesus antakya antioch fairy tale formation cappadocia cultured beach town along mediterranean coast make ammo turkish arsenal touristy delight
"Excellent cuisine and a friendly, hospitable manner underscore the Turkish way of life.","excellent, cuisine, friendly, hospitable, manner, underscore, turkish, way, life",excellent cuisine friendly hospitable manner underscore turkish way life
"Early historyThe Anatolian peninsula (also called Asia Minor), comprising most of modern Turkey, is one of the oldest continuously inhabited regions in the world due to its location at the intersection of Asia and Europe.","early, historythe, anatolian, peninsula, also, called, asia, minor, comprising, modern, turkey, one, oldest, continuously, inhabited, region, world, due, location, intersection, asia, europe",early historythe anatolian peninsula also called asia minor comprising modern turkey one oldest continuously inhabited region world due location intersection asia europe
"Starting around 1200 BCE, the coast of Anatolia was settled by Aeolian and Ionian Greeks.","starting, around, bce, coast, anatolia, settled, aeolian, ionian, greek",starting around bce coast anatolia settled aeolian ionian greek
The entire area was conquered by the Persian Achaemenid Empire during the 6th and 5th centuries BCE and later fell to Alexander the Great in 334 BCE.,"entire, area, conquered, persian, achaemenid, empire, th, th, century, bce, later, fell, alexander, great, bce",entire area conquered persian achaemenid empire th th century bce later fell alexander great bce
"In 324 CE, the Roman emperor Constantine I chose Byzantium to be the new capital of the Roman Empire, renaming it New Rome (later Constantinople and Istanbul).","ce, roman, emperor, constantine, chose, byzantium, new, capital, roman, empire, renaming, new, rome, later, constantinople, istanbul",ce roman emperor constantine chose byzantium new capital roman empire renaming new rome later constantinople istanbul
"After the fall of the Western Roman Empire, it became the capital of the Byzantine Empire (Eastern Roman Empire).","fall, western, roman, empire, became, capital, byzantine, empire, eastern, roman, empire",fall western roman empire became capital byzantine empire eastern roman empire
"Turks and the Ottoman EmpireIn 1243 CE, the Seljuk armies were defeated by the Mongols and the power of the empire slowly disintegrated.","turk, ottoman, empirein, ce, seljuk, army, defeated, mongol, power, empire, slowly, disintegrated",turk ottoman empirein ce seljuk army defeated mongol power empire slowly disintegrated
"In its wake, one of the Turkish principalities governed by Osman I was to evolve over the next 200 years into the Ottoman Empire, expanding throughout Anatolia, the Balkans and the Levant.","wake, one, turkish, principality, governed, osman, evolve, next, year, ottoman, empire, expanding, throughout, anatolia, balkan, levant",wake one turkish principality governed osman evolve next year ottoman empire expanding throughout anatolia balkan levant
"In 1453, the city of Constantinople fell to the Ottoman armies of Mehmed II, marking the abolition of the Byzantine Empire.","city, constantinople, fell, ottoman, army, mehmed, ii, marking, abolition, byzantine, empire",city constantinople fell ottoman army mehmed ii marking abolition byzantine empire
"In the 16th and 17th centuries, the Ottoman Empire was among the world's most powerful political entities.","th, th, century, ottoman, empire, among, world, powerful, political, entity",th th century ottoman empire among world powerful political entity
"After nearly a century of decline, the Ottoman Empire entered World War I (1914–1918) on the side of the Central Powers and was ultimately defeated.","nearly, century, decline, ottoman, empire, entered, world, war, side, central, power, ultimately, defeated",nearly century decline ottoman empire entered world war side central power ultimately defeated
"During World War I, an estimated 1.5 million Armenians were killed in the Armenian Genocide.","world, war, estimated, million, armenian, killed, armenian, genocide",world war estimated million armenian killed armenian genocide
"Republic eraOn 1 November 1922, the newly founded parliament formally abolished the Sultanate, thus ending 623 years of Ottoman rule.","republic, eraon, november, newly, founded, parliament, formally, abolished, sultanate, thus, ending, year, ottoman, rule",republic eraon november newly founded parliament formally abolished sultanate thus ending year ottoman rule
This was the start of the Republic of Turkey.,"start, republic, turkey",start republic turkey
Mustafa Kemal became the republic's first president and subsequently introduced many radical reforms with the aim of founding a new secular republic from the remnants of its Ottoman past.,"mustafa, kemal, became, republic, first, president, subsequently, introduced, many, radical, reform, aim, founding, new, secular, republic, remnant, ottoman, past",mustafa kemal became republic first president subsequently introduced many radical reform aim founding new secular republic remnant ottoman past
"According to the Law on Family Names, the Turkish parliament presented Mustafa Kemal with the honorific surname ""Atatürk"" (Father Turk) in 1934.","according, law, family, name, turkish, parliament, presented, mustafa, kemal, honorific, surname, atatrk, father, turk",according law family name turkish parliament presented mustafa kemal honorific surname atatrk father turk
"Turkey joined NATO in 1952, becoming a bulwark against Soviet expansion into the Mediterranean.","turkey, joined, nato, becoming, bulwark, soviet, expansion, mediterranean",turkey joined nato becoming bulwark soviet expansion mediterranean
"Following a decade of inter-communal violence on the island of Cyprus and the Greek military coup of July 1974, overthrowing President Makarios and installing Nikos Sampson as dictator, Turkey invaded the Republic of Cyprus in 1974.","following, decade, intercommunal, violence, island, cyprus, greek, military, coup, july, overthrowing, president, makarios, installing, nikos, sampson, dictator, turkey, invaded, republic, cyprus",following decade intercommunal violence island cyprus greek military coup july overthrowing president makarios installing nikos sampson dictator turkey invaded republic cyprus
Nine years later the Turkish Republic of Northern Cyprus (TRNC) was established.,"nine, year, later, turkish, republic, northern, cyprus, trnc, established",nine year later turkish republic northern cyprus trnc established
Turkey is the only country to recognise the TRNC.,"turkey, country, recognise, trnc",turkey country recognise trnc
"Following the end of the single-party period in 1945, the multi-party period witnessed tensions over the next decades, and the period between the 1960s and the 1980s was particularly marked by periods of political instability that resulted in a number of military coups d'etat in 1960, 1971, 1980 and a military memorandum in 1997.","following, end, singleparty, period, multiparty, period, witnessed, tension, next, decade, period, particularly, marked, period, political, instability, resulted, number, military, coup, detat, military, memorandum",following end singleparty period multiparty period witnessed tension next decade period particularly marked period political instability resulted number military coup detat military memorandum
