Original Sentence,Stemmed Tokens,Stemmed Sentence
"### Turkey ###
For only $3 per month you can become a Travellerspoint Supporter
              and enjoy an ad free experience.","turkey, per, month, becom, travellerspoint, support, enjoy, ad, free, experi",turkey per month becom travellerspoint support enjoy ad free experi
"With one foot in Asia and one foot (a smaller foot, granted) in Europe, Turkey emerges on the tourist map as a fascinating cultural mystery, with ancient cities and towns as frequent as freckles and a history that's as long as it is complicated.","one, foot, asia, one, foot, smaller, foot, grant, europ, turkey, emerg, tourist, map, fascin, cultur, mysteri, ancient, citi, town, frequent, freckl, histori, long, complic",one foot asia one foot smaller foot grant europ turkey emerg tourist map fascin cultur mysteri ancient citi town frequent freckl histori long complic
Istanbul's pronounced prominence in the ancient world made it and Turkey the center of numerous great civilizations.,"istanbul, pronounc, promin, ancient, world, made, turkey, center, numer, great, civil",istanbul pronounc promin ancient world made turkey center numer great civil
"As it passed through Byzantine and Roman hands, it sported the names Byzantine and Constantinople, eventually adopting its current name under Ottoman rule.","pass, byzantin, roman, hand, sport, name, byzantin, constantinopl, eventu, adopt, current, name, ottoman, rule",pass byzantin roman hand sport name byzantin constantinopl eventu adopt current name ottoman rule
"The city is the country's tourist center, but Turkey is certainly no one-hit wonder.","citi, countri, tourist, center, turkey, certainli, onehit, wonder",citi countri tourist center turkey certainli onehit wonder
"Mount Ararat, the ancient Biblical towns of Ephesus and Antakya (Antioch), the fairy tale formations of Cappadocia and the cultured beach towns along the Mediterranean coast make up further ammo for the Turkish arsenal of touristy delights.","mount, ararat, ancient, biblic, town, ephesu, antakya, antioch, fairi, tale, format, cappadocia, cultur, beach, town, along, mediterranean, coast, make, ammo, turkish, arsen, touristi, delight",mount ararat ancient biblic town ephesu antakya antioch fairi tale format cappadocia cultur beach town along mediterranean coast make ammo turkish arsen touristi delight
"Excellent cuisine and a friendly, hospitable manner underscore the Turkish way of life.","excel, cuisin, friendli, hospit, manner, underscor, turkish, way, life",excel cuisin friendli hospit manner underscor turkish way life
"Early historyThe Anatolian peninsula (also called Asia Minor), comprising most of modern Turkey, is one of the oldest continuously inhabited regions in the world due to its location at the intersection of Asia and Europe.","earli, historyth, anatolian, peninsula, also, call, asia, minor, compris, modern, turkey, one, oldest, continu, inhabit, region, world, due, locat, intersect, asia, europ",earli historyth anatolian peninsula also call asia minor compris modern turkey one oldest continu inhabit region world due locat intersect asia europ
"Starting around 1200 BCE, the coast of Anatolia was settled by Aeolian and Ionian Greeks.","start, around, bce, coast, anatolia, settl, aeolian, ionian, greek",start around bce coast anatolia settl aeolian ionian greek
The entire area was conquered by the Persian Achaemenid Empire during the 6th and 5th centuries BCE and later fell to Alexander the Great in 334 BCE.,"entir, area, conquer, persian, achaemenid, empir, th, th, centuri, bce, later, fell, alexand, great, bce",entir area conquer persian achaemenid empir th th centuri bce later fell alexand great bce
"In 324 CE, the Roman emperor Constantine I chose Byzantium to be the new capital of the Roman Empire, renaming it New Rome (later Constantinople and Istanbul).","ce, roman, emperor, constantin, chose, byzantium, new, capit, roman, empir, renam, new, rome, later, constantinopl, istanbul",ce roman emperor constantin chose byzantium new capit roman empir renam new rome later constantinopl istanbul
"After the fall of the Western Roman Empire, it became the capital of the Byzantine Empire (Eastern Roman Empire).","fall, western, roman, empir, becam, capit, byzantin, empir, eastern, roman, empir",fall western roman empir becam capit byzantin empir eastern roman empir
"Turks and the Ottoman EmpireIn 1243 CE, the Seljuk armies were defeated by the Mongols and the power of the empire slowly disintegrated.","turk, ottoman, empirein, ce, seljuk, armi, defeat, mongol, power, empir, slowli, disintegr",turk ottoman empirein ce seljuk armi defeat mongol power empir slowli disintegr
"In its wake, one of the Turkish principalities governed by Osman I was to evolve over the next 200 years into the Ottoman Empire, expanding throughout Anatolia, the Balkans and the Levant.","wake, one, turkish, princip, govern, osman, evolv, next, year, ottoman, empir, expand, throughout, anatolia, balkan, levant",wake one turkish princip govern osman evolv next year ottoman empir expand throughout anatolia balkan levant
"In 1453, the city of Constantinople fell to the Ottoman armies of Mehmed II, marking the abolition of the Byzantine Empire.","citi, constantinopl, fell, ottoman, armi, mehm, ii, mark, abolit, byzantin, empir",citi constantinopl fell ottoman armi mehm ii mark abolit byzantin empir
"In the 16th and 17th centuries, the Ottoman Empire was among the world's most powerful political entities.","th, th, centuri, ottoman, empir, among, world, power, polit, entiti",th th centuri ottoman empir among world power polit entiti
